Date,Hour,Toronto,weekday
2003-05-09,7,5488,1
2003-05-09,8,5887,1
2003-05-09,9,6070,1
2003-05-09,10,6215,1
2003-05-09,11,6288,1
2003-05-09,12,6318,1
2003-05-09,13,6340,1
2003-05-09,14,6301,1
2003-05-09,15,6155,1
2003-05-09,16,6059,1
2003-05-09,17,5958,1
2003-05-09,18,5868,1
2003-05-09,19,5700,1
2003-05-09,20,5736,1
2003-05-09,21,5741,1
2003-05-09,22,5378,1
2003-05-09,23,4892,1
2003-05-09,24,4496,1
2003-05-10,1,4237,0
2003-05-10,2,4084,0
2003-05-10,3,3995,0
2003-05-10,4,3966,0
2003-05-10,5,4003,0
2003-05-10,6,4073,0
2003-05-10,7,4351,0
2003-05-10,8,4744,0
2003-05-10,9,5077,0
2003-05-10,10,5262,0
2003-05-10,11,5343,0
2003-05-10,12,5317,0
2003-05-10,13,5296,0
2003-05-10,14,5214,0
2003-05-10,15,5179,0
2003-05-10,16,5153,0
2003-05-10,17,5176,0
2003-05-10,18,5094,0
2003-05-10,19,4986,0
2003-05-10,20,5087,0
2003-05-10,21,5176,0
2003-05-10,22,4973,0
2003-05-10,23,4655,0
2003-05-10,24,4318,0
2003-05-11,1,4101,0
2003-05-11,2,3957,0
2003-05-11,3,3856,0
2003-05-11,4,3822,0
2003-05-11,5,3830,0
2003-05-11,6,3864,0
2003-05-11,7,4023,0
2003-05-11,8,4409,0
2003-05-11,9,4744,0
2003-05-11,10,4977,0
2003-05-11,11,5152,0
2003-05-11,12,5265,0
2003-05-11,13,5281,0
2003-05-11,14,5161,0
2003-05-11,15,5074,0
2003-05-11,16,5038,0
2003-05-11,17,5048,0
2003-05-11,18,5001,0
2003-05-11,19,5031,0
2003-05-11,20,5219,0
2003-05-11,21,5272,0
2003-05-11,22,5017,0
2003-05-11,23,4642,0
2003-05-11,24,4326,0
2003-05-12,1,4137,1
2003-05-12,2,4045,1
2003-05-12,3,4006,1
2003-05-12,4,4037,1
2003-05-12,5,4243,1
2003-05-12,6,4723,1
2003-05-12,7,5460,1
2003-05-12,8,5907,1
2003-05-12,9,6141,1
2003-05-12,10,6291,1
2003-05-12,11,6363,1
2003-05-12,12,6410,1
2003-05-12,13,6415,1
2003-05-12,14,6394,1
2003-05-12,15,6362,1
2003-05-12,16,6374,1
2003-05-12,17,6338,1
2003-05-12,18,6208,1
2003-05-12,19,6110,1
2003-05-12,20,6193,1
2003-05-12,21,6114,1
2003-05-12,22,5680,1
2003-05-12,23,5134,1
2003-05-12,24,4728,1
2003-05-13,1,4494,1
2003-05-13,2,4363,1
2003-05-13,3,4295,1
